leanings ,,,,
red,,,,
red,,,,
gray,,,,
red,,,,
blue,,,,
blue,,,,
blue,,,,
blue,,,,
blue,,,,
gray,,,,
gray,,,,
gray,,,,
blue,,,,
red,,,,
blue,,,,
gray,,,,
gray,,,,
red,,,,
gray,,,,
gray,,,,
blue,,,,
blue,,,,
blue,,,,
blue,,,,
blue,,,,
red,,,,
red,,,,
red,,,,
red,,,,
gray,,,,
gray,,,,
blue,,,,
blue,,,,
gray,,,,
red,,,,
blue,,,,
gray,,,,
red,,,,
blue,,,,
gray,,,,
blue,,,,
red,,,,
red,,,,
red,,,,
gray,,,,
red,,,,
blue,,,,
blue,,,,
blue,,,,
gray,,,,
gray,,,,
red,,,,
